name,price,categoryName
38 Plain Fries (Jalapeno Sauce),100,Chinese
39 Hot and Sour Soup (Single Bowl),250,Chinese
40 Hot and Sour Soup (Family Bowl),850,Chinese
41 Thai Soup (Single Bowl),250,Chinese
42 Thai Soup (Family Bowl),850,Chinese
43 Tom Yom Soup  (Single Bowl),350,Chinese
44 Tom Yom Soup  (Family Bowl),1300,Chinese
45 Chicken Corn Soup (Single Bowl),250,Chinese
46 Chicken Corn Soup (Family Bowl),850,Chinese
47 Cream Mushroom Soup (Single Bowl),250,Chinese
48 Cream Mushroom Soup (Family Bowl),850,Chinese
49 Cream of Chicken Soup (Single Bowl),250,Chinese
50 Cream of Chicken Soup (Family Bowl),850,Chinese
51 Lebanese Mezze Platter,800,Salad
52 Caesar Salad,600,Salad
53 Russian Salad,750,Salad
54 Pasta Salad,400,Salad
55 Beans Salad,300,Salad
56 Fresh Greens Salad,200,Salad
57 Lentil Soup (Single Bowl),200,Chinese
58 Lentil Soup (Family Bowl),750,Chinese
59 Greek Salad,650,Salad
60 Fattoush,350,Salad
61 Lebanese Salad,650,Salad
62 Falafel,800,Fast Food
63 Beef Shawarma,690,Fast Food
64 Shish Tawook Shawarma,690,Fast Food
65 Hummus Mah Lahme,1050,Fast Food
66 Shawarma Plate,1150,Fast Food
67 Falafel Plate,1250,Fast Food
68 Kung Pow Chicken (Half),1150,Chinese
69 Kung Pow Chicken (Full),2100,Chinese
70 Chicken with Cashew Nuts (Half),1075,Chinese
71 Chicken with Cashew Nuts (Full),1950,Chinese
72 Chicken with Almond (Half),1100,Chinese
73 Chicken with Almond (Full),2000,Chinese
74 Chicken with Pineapple (Half),1000,Chinese
75 Chicken with Pineapple (Full),1900,Chinese
76 Mongolian Chicken (Half),900,Chinese
77 Mongolian Chicken (Full),1700,Chinese
78 Black Pepper Chicken (Half),1100,Chinese
79 Black Pepper Chicken (Full),2100,Chinese
80 Chicken Manchurian (Half),1000,Chinese
81 Chicken Manchurian (Full),1900,Chinese
82 Chicken Chilli Dry (Half),925,Chinese
83 Chicken Chilli Dry (Full),1650,Chinese
84 Chicken Chowmein,950,Chinese
85 Beef Chowmein,990,Chinese
86 Vegetable Chowmein,600,Chinese
87 Lasagna,1250,Chinese
88 Chicken Alfredo Pasta,1250,Chinese
89 Baked Rigatoni Creamy Pasta,1300,Chinese
90 Fish Fillet,1100,Chinese
91 Grilled Fish with Saffron Sauce,1450,Chinese
92 Fish and Chips,1290,Chinese
93 Chicken Ala Kiev,980,Chinese
94 Chicken Tikka Pizza (Medium),1490,Pizza
95 Chicken Tikka Pizza (Large),2090,Pizza
96 Chicken Fajita Pizza (Medium),1490,Pizza
97 Chicken Fajita Pizza (Large),2090,Pizza
98 Crown Crust Pizza (Medium),1600,Pizza
99 Crown Crust Pizza (Large),2200,Pizza
100 Pepper Corn Steak,1490,Steak
101 Mushroom Steak,1490,Steak
102 Mexican Steak,1890,Steak
103 Twin Steak,1590,Steak
104 French Onion Steak,1650,Steak
105 Jalapeno Beef Burger,750,Fast Food
106 Grilled Beef Burger,750,Fast Food
107 Stuffed Chicken Burger,650,Fast Food
108 Zinger Burger,650,Fast Food
109 Chicken Crunch Burger,500,Fast Food
110 Double Decker Club Sandwich,650,Fast Food
111 Grilled Chicken Sandwich,880,Fast Food
112 Make it a Meal (French Fries & Soft Drink),250,Fast Food
113 BeefChili Dry (Half),1050,Chinese
114 BeefChili Dry (Full),1900,Chinese
115 Mangolian Beef(Half),1100,Chinese
116 Mangolian Beef (Full),2000,Chinese
117 Stir Fry Beef Chilli (Half),1150,Chinese
118 Stir Fry Beef Chilli (Full),2200,Chinese
119 Chlli Oyster Beef (Half),1300,Chinese
120 Chlli Oyster Beef (Full),2450,Chinese
121 Hot & Spicy Braised Beef (Half),1150,Chinese
122 Hot & Spicy Braised Beef (Full),2250,Chinese
123 Egg Fried Rice,850,Rice
124 Chicken Fried Rice,1100,Rice
125 Vegetable Rice,850,Rice
126 Garlic Rice,750,Rice
127 Seekh Kabab Karahi (Half),1100,Desi
128 Seekh Kabab Karahi (Full),2000,Desi
129 Chapli Kabab,450,Desi
130 Mutton Afghani Pulao,2400,Rice
131 Bannu Beef Pulao,1350,Rice
132 Chicken Biryani,1100,Rice
133 Peas Pulao,550,Rice
134 Palak Paneer (Half),600,Desi
135 Palak Paneer (Full),1100,Desi
136 Daal Mash (Half),550,Desi
137 Daal Mash (Full),1000,Desi
138 Shahi Daal (Half),600,Desi
139 Shahi Daal (Full),1090,Desi
140 Mian Jee Kee Daal (Half),800,Desi
141 Mian Jee Kee Daal (Full),1500,Desi
